scope,model_short,MAE,RMSE,MAPE
Aggregate,ARIMA,602888.5139698227,1301395.4961443918,52.510204414067374
Aggregate,ETS,605618.9056085509,1349349.579427729,54.00262240761092
PERSONAL CARE,ARIMA,56912958.99491536,88624973.52886935,17456.643143611804
PERSONAL CARE,ETS,112956.90489539276,116134.0842115863,25.49644701652386
POULTRY,ARIMA,29106458.591046494,42080199.54627583,8529.964097083548
POULTRY,ETS,120763.04038300522,123680.96430543363,26.550756762825706
